time;graph;no_vertices;no_edges;no_tests;block_size;nvgraph;CPU;n_squared;serial_atomic_one_phase;serial_atomic;serial_atomic_dd;serial_atomic_add;serial_scan;serial_scan_dd;serial_scan_add;serial_half_scan;serial_half_scan_dd;serial_half_scan_add;warp_atomic_one_phase;warp_atomic;warp_atomic_dd;warp_atomic_add;warp_scan;warp_scan_dd;warp_scan_add;warp_half_scan;warp_half_scan_dd;warp_half_scan_add;CTA;CTA_dd;CTA_add;warp_boosted;warp_boosted_dd;warp_boosted_add;
1575374236;kkt_power;2063494;16260686;100;256;25.7855;384.919;39.2803;43.2198;53.9667;65.1285;42.664;71.7384;79.3942;35.9282;51.1903;62.8827;31.1428;30.8638;32.4244;33.1172;32.1777;70.6826;79.9076;34.3088;49.4747;60.6755;29.6287;42.524;50.6159;28.7243;48.1449;58.479;30.3261;
1575374767;coPapersCiteseer;434102;32073440;100;256;0;0;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;39.2019;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;
1575374819;coPapersCiteseer;434102;32073440;100;256;36.3784;0;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;NOT TESTED;
1575375871;hugebubbles-00020;21198119;63580358;10;256;318.636;2970.91;3596.02;266.992;317.889;313.134;299.333;402.033;306.459;299.548;286.504;280.157;269.746;280.933;349.713;348.86;339.509;733.048;363.491;358.761;354.852;338.11;325.646;276.044;274.447;265.652;361.508;359.525;353.254;
1575376005;delaunay_n24;16777216;100663202;10;256;197.777;1134.15;1093.23;221.195;237.134;246.426;235.753;361.06;244.378;216.656;226.484;207.985;198.165;190.048;224.812;227.885;216.184;515.042;270.034;229.072;303.637;222.2;205.822;206.317;192.31;181.749;280.753;230.162;217.015;
